id,nombreCategoria,fechaDeCreacion,responsable,justificacion,descripcion,estado,fechaModificacion,codigo
436.0,Educacion,,cesar,no tenia efectivo,descripcion al azar 1,False,2026/07/14,Z748
146.0,Tecnologia,2025/10/06, ELPIETRO,no tenian cambio en efectivo,descripcion al azar 2,True,2026/02/11,V788
149.0,Tecnologia,2025/09/05,albaro,solo queria,descripcion al azar,True,2026/09/21,V788
412.0,Alimentos,2025/11/11,julio,solo queria,descripcion al azar 1,,2026/04/13,V788
410.0,Hogar,2025/05/16, JULIO,solo queria,descripcion al azar 3,True,2026/05/04,F899
63.0,Hogar,2025/07/25, ELPIETRO,era necesario,descripcion al azar 1,True,2026/10/04,V788
152.0,Hogar,2025/06/14,julio,solo queria,descripcion al azar 1,False,2026/03/26, t001
283.0,Entretenimiento,2025/05/31,julio,no tenia efectivo,descripcion al azar 1,True,2026/04/12,G2025
,Tecnologia,2025/08/02,cesar,era necesario,descripcion al azar,True,2026/07/01,F899
593.0, ALIMENTOS,2025/01/09,cesar,solo queria,descripcion al azar 2,False,2026/12/15,G2025
